100MB | 5M | 1 | Morning | 4945.92
100MB | 5M | 1 | Morning | 4812.80
100MB | 5M | 1 | Morning | 5048.32
100MB | 100M | 1 | Morning | 4669.44
100MB | 100M | 1 | Morning | 7669.76
100MB | 100M | 1 | Morning | 7034.88
100MB | 5M | 2 | Morning | 4945.92
100MB | 5M | 2 | Morning | 4439.04
100MB | 5M | 2 | Morning | 4444.16
100MB | 100M | 2 | Morning | 4956.16
100MB | 100M | 2 | Morning | 5120.00
100MB | 100M | 2 | Morning | 5898.24
100MB | 5M | 3 | Morning | 5021.01
100MB | 5M | 3 | Morning | 4795.73
100MB | 5M | 3 | Morning | 4898.13
100MB | 100M | 3 | Morning | 5434.02
100MB | 100M | 3 | Morning | 5942.61
100MB | 100M | 3 | Morning | 6133.76
100MB | 5M | 1 | Afternoon | 4792.32
100MB | 5M | 1 | Afternoon | 5130.24
100MB | 5M | 1 | Afternoon | 5109.76
100MB | 100M | 1 | Afternoon | 7311.36
100MB | 100M | 1 | Afternoon | 7905.28
100MB | 100M | 1 | Afternoon | 6574.08
100MB | 5M | 2 | Afternoon | 4904.96
100MB | 5M | 2 | Afternoon | 5007.36
100MB | 5M | 2 | Afternoon | 4659.20
100MB | 100M | 2 | Afternoon | 6656.00
100MB | 100M | 2 | Afternoon | 5862.40
100MB | 100M | 2 | Afternoon | 7741.44
100MB | 5M | 3 | Afternoon | 5051.73
100MB | 5M | 3 | Afternoon | 5150.72
100MB | 5M | 3 | Afternoon | 5147.30
100MB | 100M | 3 | Afternoon | 11400.53
100MB | 100M | 3 | Afternoon | 11605.33
100MB | 100M | 3 | Afternoon | 10018.13
100MB | 5M | 1 | Evening | 2017.28
100MB | 5M | 1 | Evening | 1361.92
100MB | 5M | 1 | Evening | 752.00
100MB | 100M | 1 | Evening | 706.00
100MB | 100M | 1 | Evening | 549.00
100MB | 100M | 1 | Evening | 586.00
100MB | 5M | 2 | Evening | 712.00
100MB | 5M | 2 | Evening | 1100.80
100MB | 5M | 2 | Evening | 666.00
100MB | 100M | 2 | Evening | 657.00
100MB | 100M | 2 | Evening | 808.50
100MB | 100M | 2 | Evening | 1090.30
100MB | 5M | 3 | Evening | 1389.41
100MB | 5M | 3 | Evening | 944.66
100MB | 5M | 3 | Evening | 1025.93
100MB | 100M | 3 | Evening | 1433.60
100MB | 100M | 3 | Evening | 3433.02
100MB | 100M | 3 | Evening | 4700.16
