10KB | 5M | 1 | Morning | 88268.80
10KB | 5M | 1 | Morning | 59187.20
10KB | 5M | 1 | Morning | 50073.60
10KB | 100M | 1 | Morning | 2529.28
10KB | 100M | 1 | Morning | 54988.80
10KB | 100M | 1 | Morning | 58880.00
10KB | 5M | 2 | Morning | 58470.40
10KB | 5M | 2 | Morning | 59904.00
10KB | 5M | 2 | Morning | 30376.96
10KB | 100M | 2 | Morning | 58880.00
10KB | 100M | 2 | Morning | 30796.80
10KB | 100M | 2 | Morning | 31723.52
10KB | 5M | 3 | Morning | 58675.20
10KB | 5M | 3 | Morning | 54272.00
10KB | 5M | 3 | Morning | 33327.78
10KB | 100M | 3 | Morning | 37246.29
10KB | 100M | 3 | Morning | 40239.78
10KB | 100M | 3 | Morning | 2662.40
10KB | 5M | 1 | Afternoon | 2560.00
10KB | 5M | 1 | Afternoon | 66355.20
10KB | 5M | 1 | Afternoon | 28876.80
10KB | 100M | 1 | Afternoon | 65433.60
10KB | 100M | 1 | Afternoon | 40755.20
10KB | 100M | 1 | Afternoon | 49664.00
10KB | 5M | 2 | Afternoon | 57344.00
10KB | 5M | 2 | Afternoon | 57600.00
10KB | 5M | 2 | Afternoon | 39424.00
10KB | 100M | 2 | Afternoon | 66201.60
10KB | 100M | 2 | Afternoon | 63283.20
10KB | 100M | 2 | Afternoon | 61235.20
10KB | 5M | 3 | Afternoon | 52053.33
10KB | 5M | 3 | Afternoon | 45813.76
10KB | 5M | 3 | Afternoon | 51746.13
10KB | 100M | 3 | Afternoon | 51613.01
10KB | 100M | 3 | Afternoon | 35061.76
10KB | 100M | 3 | Afternoon | 2194.44
10KB | 5M | 1 | Evening | 1413.12
10KB | 5M | 1 | Evening | 53657.60
10KB | 5M | 1 | Evening | 58368.00
10KB | 100M | 1 | Evening | 51404.80
10KB | 100M | 1 | Evening | 24.90
10KB | 100M | 1 | Evening | 39424.00
10KB | 5M | 2 | Evening | 30468.30
10KB | 5M | 2 | Evening | 3297.28
10KB | 5M | 2 | Evening | 3322.88
10KB | 100M | 2 | Evening | 31114.24
10KB | 100M | 2 | Evening | 2426.88
10KB | 100M | 2 | Evening | 1641.96
10KB | 5M | 3 | Evening | 2104.62
10KB | 5M | 3 | Evening | 59392.00
10KB | 5M | 3 | Evening | 22370.98
10KB | 100M | 3 | Evening | 2231.48
10KB | 100M | 3 | Evening | 51647.14
10KB | 100M | 3 | Evening | 20988.58
