10KB | 5M | 3 | Morning | 58675.20
10KB | 5M | 3 | Morning | 54272.00
10KB | 5M | 3 | Morning | 33327.78
10KB | 100M | 3 | Morning | 37246.29
10KB | 100M | 3 | Morning | 40239.78
10KB | 100M | 3 | Morning | 2662.40
1MB | 5M | 3 | Morning | 6116.69
1MB | 5M | 3 | Morning | 4747.94
1MB | 5M | 3 | Morning | 5212.16
1MB | 100M | 3 | Morning | 6120.10
1MB | 100M | 3 | Morning | 3819.52
1MB | 100M | 3 | Morning | 5379.41
100MB | 5M | 3 | Morning | 5021.01
100MB | 5M | 3 | Morning | 4795.73
100MB | 5M | 3 | Morning | 4898.13
100MB | 100M | 3 | Morning | 5434.02
100MB | 100M | 3 | Morning | 5942.61
100MB | 100M | 3 | Morning | 6133.76
10KB | 5M | 3 | Afternoon | 52053.33
10KB | 5M | 3 | Afternoon | 45813.76
10KB | 5M | 3 | Afternoon | 51746.13
10KB | 100M | 3 | Afternoon | 51613.01
10KB | 100M | 3 | Afternoon | 35061.76
10KB | 100M | 3 | Afternoon | 2194.44
1MB | 5M | 3 | Afternoon | 6645.76
1MB | 5M | 3 | Afternoon | 8622.08
1MB | 5M | 3 | Afternoon | 7464.96
1MB | 100M | 3 | Afternoon | 9359.36
1MB | 100M | 3 | Afternoon | 10581.33
1MB | 100M | 3 | Afternoon | 9895.25
100MB | 5M | 3 | Afternoon | 5051.73
100MB | 5M | 3 | Afternoon | 5150.72
100MB | 5M | 3 | Afternoon | 5147.30
100MB | 100M | 3 | Afternoon | 11400.53
100MB | 100M | 3 | Afternoon | 11605.33
100MB | 100M | 3 | Afternoon | 10018.13
10KB | 5M | 3 | Evening | 2104.62
10KB | 5M | 3 | Evening | 59392.00
10KB | 5M | 3 | Evening | 22370.98
10KB | 100M | 3 | Evening | 2231.48
10KB | 100M | 3 | Evening | 51647.14
10KB | 100M | 3 | Evening | 20988.58
1MB | 5M | 3 | Evening | 6157.65
1MB | 5M | 3 | Evening | 2809.17
1MB | 5M | 3 | Evening | 2131.37
1MB | 100M | 3 | Evening | 2174.29
1MB | 100M | 3 | Evening | 2416.64
1MB | 100M | 3 | Evening | 2914.98
100MB | 5M | 3 | Evening | 1389.41
100MB | 5M | 3 | Evening | 944.66
100MB | 5M | 3 | Evening | 1025.93
100MB | 100M | 3 | Evening | 1433.60
100MB | 100M | 3 | Evening | 3433.02
100MB | 100M | 3 | Evening | 4700.16
