10KB | 5M | 1 | Afternoon | 2560.00
10KB | 5M | 1 | Afternoon | 66355.20
10KB | 5M | 1 | Afternoon | 28876.80
10KB | 100M | 1 | Afternoon | 65433.60
10KB | 100M | 1 | Afternoon | 40755.20
10KB | 100M | 1 | Afternoon | 49664.00
10KB | 5M | 2 | Afternoon | 57344.00
10KB | 5M | 2 | Afternoon | 57600.00
10KB | 5M | 2 | Afternoon | 39424.00
10KB | 100M | 2 | Afternoon | 66201.60
10KB | 100M | 2 | Afternoon | 63283.20
10KB | 100M | 2 | Afternoon | 61235.20
10KB | 5M | 3 | Afternoon | 52053.33
10KB | 5M | 3 | Afternoon | 45813.76
10KB | 5M | 3 | Afternoon | 51746.13
10KB | 100M | 3 | Afternoon | 51613.01
10KB | 100M | 3 | Afternoon | 35061.76
10KB | 100M | 3 | Afternoon | 2194.44
1MB | 5M | 1 | Afternoon | 5601.28
1MB | 5M | 1 | Afternoon | 8744.96
1MB | 5M | 1 | Afternoon | 8458.24
1MB | 100M | 1 | Afternoon | 7475.20
1MB | 100M | 1 | Afternoon | 8478.72
1MB | 100M | 1 | Afternoon | 8683.52
1MB | 5M | 2 | Afternoon | 9999.36
1MB | 5M | 2 | Afternoon | 4147.20
1MB | 5M | 2 | Afternoon | 3599.36
1MB | 100M | 2 | Afternoon | 9036.80
1MB | 100M | 2 | Afternoon | 4044.80
1MB | 100M | 2 | Afternoon | 6430.72
1MB | 5M | 3 | Afternoon | 6645.76
1MB | 5M | 3 | Afternoon | 8622.08
1MB | 5M | 3 | Afternoon | 7464.96
1MB | 100M | 3 | Afternoon | 9359.36
1MB | 100M | 3 | Afternoon | 10581.33
1MB | 100M | 3 | Afternoon | 9895.25
100MB | 5M | 1 | Afternoon | 4792.32
100MB | 5M | 1 | Afternoon | 5130.24
100MB | 5M | 1 | Afternoon | 5109.76
100MB | 100M | 1 | Afternoon | 7311.36
100MB | 100M | 1 | Afternoon | 7905.28
100MB | 100M | 1 | Afternoon | 6574.08
100MB | 5M | 2 | Afternoon | 4904.96
100MB | 5M | 2 | Afternoon | 5007.36
100MB | 5M | 2 | Afternoon | 4659.20
100MB | 100M | 2 | Afternoon | 6656.00
100MB | 100M | 2 | Afternoon | 5862.40
100MB | 100M | 2 | Afternoon | 7741.44
100MB | 5M | 3 | Afternoon | 5051.73
100MB | 5M | 3 | Afternoon | 5150.72
100MB | 5M | 3 | Afternoon | 5147.30
100MB | 100M | 3 | Afternoon | 11400.53
100MB | 100M | 3 | Afternoon | 11605.33
100MB | 100M | 3 | Afternoon | 10018.13
