10KB | 5M | 1 | Evening | 1413.12
10KB | 5M | 1 | Evening | 53657.60
10KB | 5M | 1 | Evening | 58368.00
10KB | 100M | 1 | Evening | 51404.80
10KB | 100M | 1 | Evening | 24.90
10KB | 100M | 1 | Evening | 39424.00
10KB | 5M | 2 | Evening | 30468.30
10KB | 5M | 2 | Evening | 3297.28
10KB | 5M | 2 | Evening | 3322.88
10KB | 100M | 2 | Evening | 31114.24
10KB | 100M | 2 | Evening | 2426.88
10KB | 100M | 2 | Evening | 1641.96
10KB | 5M | 3 | Evening | 2104.62
10KB | 5M | 3 | Evening | 59392.00
10KB | 5M | 3 | Evening | 22370.98
10KB | 100M | 3 | Evening | 2231.48
10KB | 100M | 3 | Evening | 51647.14
10KB | 100M | 3 | Evening | 20988.58
1MB | 5M | 1 | Evening | 1996.80
1MB | 5M | 1 | Evening | 1454.08
1MB | 5M | 1 | Evening | 687.00
1MB | 100M | 1 | Evening | 790.00
1MB | 100M | 1 | Evening | 2048.00
1MB | 100M | 1 | Evening | 1955.84
1MB | 5M | 2 | Evening | 1551.36
1MB | 5M | 2 | Evening | 1510.40
1MB | 5M | 2 | Evening | 839.00
1MB | 100M | 2 | Evening | 1300.48
1MB | 100M | 2 | Evening | 2539.52
1MB | 100M | 2 | Evening | 2995.20
1MB | 5M | 3 | Evening | 6157.65
1MB | 5M | 3 | Evening | 2809.17
1MB | 5M | 3 | Evening | 2131.37
1MB | 100M | 3 | Evening | 2174.29
1MB | 100M | 3 | Evening | 2416.64
1MB | 100M | 3 | Evening | 2914.98
100MB | 5M | 1 | Evening | 2017.28
100MB | 5M | 1 | Evening | 1361.92
100MB | 5M | 1 | Evening | 752.00
100MB | 100M | 1 | Evening | 706.00
100MB | 100M | 1 | Evening | 549.00
100MB | 100M | 1 | Evening | 586.00
100MB | 5M | 2 | Evening | 712.00
100MB | 5M | 2 | Evening | 1100.80
100MB | 5M | 2 | Evening | 666.00
100MB | 100M | 2 | Evening | 657.00
100MB | 100M | 2 | Evening | 808.50
100MB | 100M | 2 | Evening | 1090.30
100MB | 5M | 3 | Evening | 1389.41
100MB | 5M | 3 | Evening | 944.66
100MB | 5M | 3 | Evening | 1025.93
100MB | 100M | 3 | Evening | 1433.60
100MB | 100M | 3 | Evening | 3433.02
100MB | 100M | 3 | Evening | 4700.16
