10KB | 5M | 1 | Morning | 88268.80
10KB | 5M | 1 | Morning | 59187.20
10KB | 5M | 1 | Morning | 50073.60
10KB | 100M | 1 | Morning | 2529.28
10KB | 100M | 1 | Morning | 54988.80
10KB | 100M | 1 | Morning | 58880.00
10KB | 5M | 2 | Morning | 58470.40
10KB | 5M | 2 | Morning | 59904.00
10KB | 5M | 2 | Morning | 30376.96
10KB | 100M | 2 | Morning | 58880.00
10KB | 100M | 2 | Morning | 30796.80
10KB | 100M | 2 | Morning | 31723.52
10KB | 5M | 3 | Morning | 58675.20
10KB | 5M | 3 | Morning | 54272.00
10KB | 5M | 3 | Morning | 33327.78
10KB | 100M | 3 | Morning | 37246.29
10KB | 100M | 3 | Morning | 40239.78
10KB | 100M | 3 | Morning | 2662.40
1MB | 5M | 1 | Morning | 3870.72
1MB | 5M | 1 | Morning | 4188.16
1MB | 5M | 1 | Morning | 8704.00
1MB | 100M | 1 | Morning | 9840.64
1MB | 100M | 1 | Morning | 7833.60
1MB | 100M | 1 | Morning | 5918.72
1MB | 5M | 2 | Morning | 7408.64
1MB | 5M | 2 | Morning | 8314.88
1MB | 5M | 2 | Morning | 7838.72
1MB | 100M | 2 | Morning | 7408.64
1MB | 100M | 2 | Morning | 7162.88
1MB | 100M | 2 | Morning | 5652.48
1MB | 5M | 3 | Morning | 6116.69
1MB | 5M | 3 | Morning | 4747.94
1MB | 5M | 3 | Morning | 5212.16
1MB | 100M | 3 | Morning | 6120.10
1MB | 100M | 3 | Morning | 3819.52
1MB | 100M | 3 | Morning | 5379.41
100MB | 5M | 1 | Morning | 4945.92
100MB | 5M | 1 | Morning | 4812.80
100MB | 5M | 1 | Morning | 5048.32
100MB | 100M | 1 | Morning | 4669.44
100MB | 100M | 1 | Morning | 7669.76
100MB | 100M | 1 | Morning | 7034.88
100MB | 5M | 2 | Morning | 4945.92
100MB | 5M | 2 | Morning | 4439.04
100MB | 5M | 2 | Morning | 4444.16
100MB | 100M | 2 | Morning | 4956.16
100MB | 100M | 2 | Morning | 5120.00
100MB | 100M | 2 | Morning | 5898.24
100MB | 5M | 3 | Morning | 5021.01
100MB | 5M | 3 | Morning | 4795.73
100MB | 5M | 3 | Morning | 4898.13
100MB | 100M | 3 | Morning | 5434.02
100MB | 100M | 3 | Morning | 5942.61
100MB | 100M | 3 | Morning | 6133.76
