10KB | 100M | 1 | Morning | 2529.28
10KB | 100M | 1 | Morning | 54988.80
10KB | 100M | 1 | Morning | 58880.00
10KB | 100M | 2 | Morning | 58880.00
10KB | 100M | 2 | Morning | 30796.80
10KB | 100M | 2 | Morning | 31723.52
10KB | 100M | 3 | Morning | 37246.29
10KB | 100M | 3 | Morning | 40239.78
10KB | 100M | 3 | Morning | 2662.40
1MB | 100M | 1 | Morning | 9840.64
1MB | 100M | 1 | Morning | 7833.60
1MB | 100M | 1 | Morning | 5918.72
1MB | 100M | 2 | Morning | 7408.64
1MB | 100M | 2 | Morning | 7162.88
1MB | 100M | 2 | Morning | 5652.48
1MB | 100M | 3 | Morning | 6120.10
1MB | 100M | 3 | Morning | 3819.52
1MB | 100M | 3 | Morning | 5379.41
100MB | 100M | 1 | Morning | 4669.44
100MB | 100M | 1 | Morning | 7669.76
100MB | 100M | 1 | Morning | 7034.88
100MB | 100M | 2 | Morning | 4956.16
100MB | 100M | 2 | Morning | 5120.00
100MB | 100M | 2 | Morning | 5898.24
100MB | 100M | 3 | Morning | 5434.02
100MB | 100M | 3 | Morning | 5942.61
100MB | 100M | 3 | Morning | 6133.76
10KB | 100M | 1 | Afternoon | 65433.60
10KB | 100M | 1 | Afternoon | 40755.20
10KB | 100M | 1 | Afternoon | 49664.00
10KB | 100M | 2 | Afternoon | 66201.60
10KB | 100M | 2 | Afternoon | 63283.20
10KB | 100M | 2 | Afternoon | 61235.20
10KB | 100M | 3 | Afternoon | 51613.01
10KB | 100M | 3 | Afternoon | 35061.76
10KB | 100M | 3 | Afternoon | 2194.44
1MB | 100M | 1 | Afternoon | 7475.20
1MB | 100M | 1 | Afternoon | 8478.72
1MB | 100M | 1 | Afternoon | 8683.52
1MB | 100M | 2 | Afternoon | 9036.80
1MB | 100M | 2 | Afternoon | 4044.80
1MB | 100M | 2 | Afternoon | 6430.72
1MB | 100M | 3 | Afternoon | 9359.36
1MB | 100M | 3 | Afternoon | 10581.33
1MB | 100M | 3 | Afternoon | 9895.25
100MB | 100M | 1 | Afternoon | 7311.36
100MB | 100M | 1 | Afternoon | 7905.28
100MB | 100M | 1 | Afternoon | 6574.08
100MB | 100M | 2 | Afternoon | 6656.00
100MB | 100M | 2 | Afternoon | 5862.40
100MB | 100M | 2 | Afternoon | 7741.44
100MB | 100M | 3 | Afternoon | 11400.53
100MB | 100M | 3 | Afternoon | 11605.33
100MB | 100M | 3 | Afternoon | 10018.13
10KB | 100M | 1 | Evening | 51404.80
10KB | 100M | 1 | Evening | 24.90
10KB | 100M | 1 | Evening | 39424.00
10KB | 100M | 2 | Evening | 31114.24
10KB | 100M | 2 | Evening | 2426.88
10KB | 100M | 2 | Evening | 1641.96
10KB | 100M | 3 | Evening | 2231.48
10KB | 100M | 3 | Evening | 51647.14
10KB | 100M | 3 | Evening | 20988.58
1MB | 100M | 1 | Evening | 790.00
1MB | 100M | 1 | Evening | 2048.00
1MB | 100M | 1 | Evening | 1955.84
1MB | 100M | 2 | Evening | 1300.48
1MB | 100M | 2 | Evening | 2539.52
1MB | 100M | 2 | Evening | 2995.20
1MB | 100M | 3 | Evening | 2174.29
1MB | 100M | 3 | Evening | 2416.64
1MB | 100M | 3 | Evening | 2914.98
100MB | 100M | 1 | Evening | 706.00
100MB | 100M | 1 | Evening | 549.00
100MB | 100M | 1 | Evening | 586.00
100MB | 100M | 2 | Evening | 657.00
100MB | 100M | 2 | Evening | 808.50
100MB | 100M | 2 | Evening | 1090.30
100MB | 100M | 3 | Evening | 1433.60
100MB | 100M | 3 | Evening | 3433.02
100MB | 100M | 3 | Evening | 4700.16
